benchmark,smt,event,duration,result
FASTJSON-39_1,smt-37,check,7,false
FASTJSON-39_1,smt-37,solve,21,UNSAT
FASTJSON-39_1,smt-37,update,0,
FASTJSON-39_1,smt-1,check,4,false
FASTJSON-39_1,smt-1,solve,1,SAT
FASTJSON-39_1,smt-31,check,7,false
FASTJSON-39_1,smt-31,solve,2,SAT
FASTJSON-39_1,smt-7,check,0,false
FASTJSON-39_1,smt-7,solve,10,UNSAT
FASTJSON-39_1,smt-7,update,0,
FASTJSON-39_1,smt-27,check,5,false
FASTJSON-39_1,smt-27,solve,2,UNSAT
FASTJSON-39_1,smt-27,update,0,
FASTJSON-39_1,smt-18,check,41,false
FASTJSON-39_1,smt-18,solve,1706,SAT
FASTJSON-39_1,smt-4,check,3,false
FASTJSON-39_1,smt-4,solve,12,UNSAT
FASTJSON-39_1,smt-4,update,0,
FASTJSON-39_1,smt-24,check,1,false
FASTJSON-39_1,smt-24,solve,1,SAT
FASTJSON-39_1,smt-36,check,2,false
FASTJSON-39_1,smt-36,solve,2,SAT
FASTJSON-39_1,smt-38,check,9,false
FASTJSON-39_1,smt-38,solve,349,SAT
FASTJSON-39_1,smt-25,check,13,false
FASTJSON-39_1,smt-25,solve,37,UNSAT
FASTJSON-39_1,smt-25,update,0,
FASTJSON-39_1,smt-32,check,9,false
FASTJSON-39_1,smt-32,solve,381,SAT
FASTJSON-39_1,smt-30,check,11,false
FASTJSON-39_1,smt-30,solve,381,SAT
FASTJSON-39_1,smt-40,check,9,false
FASTJSON-39_1,smt-40,solve,373,SAT
FASTJSON-39_1,smt-20,check,1,false
FASTJSON-39_1,smt-20,solve,1,SAT
FASTJSON-39_1,smt-3,check,8,false
FASTJSON-39_1,smt-3,solve,249,SAT
FASTJSON-39_1,smt-10,check,9,false
FASTJSON-39_1,smt-10,solve,360,SAT
FASTJSON-39_1,smt-13,check,1,false
FASTJSON-39_1,smt-13,solve,1,SAT
FASTJSON-39_1,smt-17,check,8,false
FASTJSON-39_1,smt-17,solve,354,SAT
FASTJSON-39_1,smt-21,check,7,false
FASTJSON-39_1,smt-21,solve,363,SAT
FASTJSON-39_1,smt-26,check,8,false
FASTJSON-39_1,smt-26,solve,352,SAT
FASTJSON-39_1,smt-39,check,3,false
FASTJSON-39_1,smt-39,solve,2,UNSAT
FASTJSON-39_1,smt-39,update,0,
FASTJSON-39_1,smt-2,check,0,false
FASTJSON-39_1,smt-2,solve,1,SAT
FASTJSON-39_1,smt-8,check,1,false
FASTJSON-39_1,smt-8,solve,1,UNSAT
FASTJSON-39_1,smt-8,update,0,
FASTJSON-39_1,smt-19,check,14,false
FASTJSON-39_1,smt-19,solve,385,SAT
FASTJSON-39_1,smt-33,check,17,false
FASTJSON-39_1,smt-33,solve,2238,SAT
FASTJSON-39_1,smt-35,check,14,true
FASTJSON-39_1,smt-28,check,15,false
FASTJSON-39_1,smt-28,solve,384,SAT
FASTJSON-39_1,smt-34,check,2,false
FASTJSON-39_1,smt-34,solve,2,SAT
FASTJSON-39_1,smt-11,check,9,false
FASTJSON-39_1,smt-11,solve,341,SAT
FASTJSON-39_1,smt-16,check,1,false
FASTJSON-39_1,smt-16,solve,1,SAT
FASTJSON-39_1,smt-9,check,9,false
FASTJSON-39_1,smt-9,solve,353,SAT
FASTJSON-39_1,smt-12,check,0,false
FASTJSON-39_1,smt-12,solve,1,SAT
FASTJSON-39_1,smt-22,check,8,false
FASTJSON-39_1,smt-22,solve,348,SAT
FASTJSON-39_1,smt-41,check,11,false
FASTJSON-39_1,smt-41,solve,373,SAT
FASTJSON-39_1,smt-6,check,0,false
FASTJSON-39_1,smt-6,solve,1,SAT
FASTJSON-39_1,smt-29,check,9,false
FASTJSON-39_1,smt-29,solve,387,SAT
FASTJSON-39_1,smt-5,check,25,false
FASTJSON-39_1,smt-5,solve,1937,SAT
FASTJSON-39_1,smt-15,check,6,false
FASTJSON-39_1,smt-15,solve,309,SAT
FASTJSON-39_1,smt-14,check,1,false
FASTJSON-39_1,smt-14,solve,1,SAT
FASTJSON-39_1,smt-23,check,16,false
FASTJSON-39_1,smt-23,solve,117,SAT
FASTJSON-17_1,smt-1,check,0,false
FASTJSON-17_1,smt-1,solve,1,SAT
FASTJSON-17_1,smt-7,check,0,false
FASTJSON-17_1,smt-7,solve,5,SAT
FASTJSON-17_1,smt-4,check,0,false
FASTJSON-17_1,smt-4,solve,1,SAT
FASTJSON-17_1,smt-3,check,0,false
FASTJSON-17_1,smt-3,solve,1,SAT
FASTJSON-17_1,smt-2,check,0,false
FASTJSON-17_1,smt-2,solve,1,SAT
FASTJSON-17_1,smt-8,check,0,false
FASTJSON-17_1,smt-8,solve,1,UNSAT
FASTJSON-17_1,smt-8,update,0,
FASTJSON-17_1,smt-6,check,0,false
FASTJSON-17_1,smt-6,solve,5,SAT
FASTJSON-17_1,smt-5,check,0,false
FASTJSON-17_1,smt-5,solve,3,UNSAT
FASTJSON-17_1,smt-5,update,0,
SPOON-163_1,smt-1,check,0,false
SPOON-163_1,smt-1,solve,1,SAT
SPOON-163_1,smt-7,check,0,false
SPOON-163_1,smt-7,solve,1,SAT
SPOON-163_1,smt-27,check,0,false
SPOON-163_1,smt-27,solve,518,SAT
SPOON-163_1,smt-18,check,0,false
SPOON-163_1,smt-18,solve,2,UNSAT
SPOON-163_1,smt-18,update,0,
SPOON-163_1,smt-4,check,0,false
SPOON-163_1,smt-4,solve,1,SAT
SPOON-163_1,smt-24,check,0,false
SPOON-163_1,smt-24,solve,2,SAT
SPOON-163_1,smt-25,check,24,false
SPOON-163_1,smt-25,solve,5001,UNKNOWN
SPOON-163_1,smt-20,check,0,true
SPOON-163_1,smt-3,check,0,false
SPOON-163_1,smt-3,solve,3,SAT
SPOON-163_1,smt-10,check,0,false
SPOON-163_1,smt-10,solve,59,SAT
SPOON-163_1,smt-13,check,0,false
SPOON-163_1,smt-13,solve,1,SAT
SPOON-163_1,smt-17,check,34,false
SPOON-163_1,smt-17,solve,5517,UNKNOWN
SPOON-163_1,smt-21,check,0,false
SPOON-163_1,smt-21,solve,2,SAT
SPOON-163_1,smt-26,check,7,false
SPOON-163_1,smt-26,solve,3659,SAT
SPOON-163_1,smt-2,check,0,false
SPOON-163_1,smt-2,solve,1,SAT
SPOON-163_1,smt-8,check,0,false
SPOON-163_1,smt-8,solve,1,SAT
SPOON-163_1,smt-19,check,17,false
SPOON-163_1,smt-19,solve,5003,UNKNOWN
SPOON-163_1,smt-28,check,33,false
SPOON-163_1,smt-28,solve,5003,UNKNOWN
SPOON-163_1,smt-11,check,0,false
SPOON-163_1,smt-11,solve,1,SAT
SPOON-163_1,smt-16,check,0,false
SPOON-163_1,smt-16,solve,81,UNSAT
